query_id	subject_id	unnormalized_score	normalized_score
NC_003080|NP_203144.1	NC_006512|YP_154873.1	-3.99113561652	1
NC_003080|NP_203144.1	NC_009901|YP_001504036.1	-4.91497334797	1
NC_003080|NP_203152.1	NC_015963|YP_004821700.1	-5.55630250077	1
NC_003080|NP_203144.1	NC_016147|YP_004931492.1	-7.34686347446	1
NC_003080|NP_203154.1	NC_016147|YP_004929095.1	-1.84509804001	1
NC_003080|NP_203154.1	NC_016147|YP_004930706.1	-1.84509804001	1
NC_003080|NP_203152.1	NC_017248|YP_005603096.1	-5.52845242567	1
NC_003080|NP_203144.1	NC_017248|YP_005602966.1	-4.34197356538	1
NC_003080|NP_203152.1	NC_020238|YP_007422367.1	-6.14612803568	1
NC_003080|NP_203144.1	NC_020238|YP_007423929.1	-9.07399266034	1
NC_003080|NP_203144.1	NC_021033|YP_007821124.1	-4.93868567293	1
NC_003080|NP_203144.1	NC_022132|YP_008474068.1	-5.8116246452	1
