NC_000913|NP_416270.1	NC_000916|NP_276057.1	0.934
NC_000913|NP_416280.1	NC_000916|NP_275945.1	0.486
NC_000913|NP_414696.1	NC_000916|NP_275371.1	2.929
NC_000913|NP_418227.1	NC_000916|NP_275346.1	2.319
NC_000913|NP_415816.1	NC_000916|NP_276113.1	1.871
NC_000913|NP_415017.1	NC_000916|NP_276648.1	3.528
NC_000913|NP_418387.3	NC_000916|NP_275488.1	0.863
NC_000913|NP_415138.1	NC_000916|NP_275302.1	0.427
NC_000913|NP_415356.1	NC_000916|NP_275963.1	1.007
NC_000913|NP_418407.1	NC_000916|NP_276188.1	1.096
NC_000913|NP_416544.1	NC_000916|NP_276898.1	1.057
NC_000913|NP_417313.1	NC_000916|NP_275799.1	1.297
NC_000913|NP_416278.1	NC_000916|NP_276970.1	0.229
NC_000913|NP_416477.1	NC_000916|NP_275587.1	0.335
NC_000913|NP_418567.1	NC_000916|NP_275361.1	0.36
NC_000913|NP_415023.1	NC_000916|NP_275620.1	0.944
NC_000913|NP_418126.1	NC_000916|NP_276557.1	0.655
NC_000913|NP_416546.1	NC_000916|NP_275777.1	1.411
NC_000913|NP_416372.1	NC_000916|NP_275748.1	0.906
NC_000913|NP_418536.1	NC_000916|NP_275587.1	0.299
NC_000913|NP_418032.1	NC_000916|NP_276333.1	0.966
NC_000913|NP_416260.1	NC_000916|NP_276113.1	1.497
NC_000913|NP_418184.1	NC_000916|NP_276837.1	0.235
NC_000913|NP_418099.1	NC_000916|NP_276966.1	0.308
NC_000913|NP_415812.4	NC_000916|NP_275689.1	0.408
NC_000913|NP_416528.2	NC_000916|NP_275980.1	0.631
NC_000913|NP_417637.1	NC_000916|NP_275402.1	0.777
NC_000913|NP_418030.1	NC_000916|NP_276847.1	0.502
NC_000913|NP_415551.2	NC_000916|NP_276105.1	0.792
NC_000913|NP_415003.1	NC_000916|NP_275384.1	0.434
NC_000913|NP_415291.1	NC_000916|NP_275929.1	0.359
NC_000913|NP_416286.4	NC_000916|NP_275547.1	0.329
NC_000913|NP_414998.1	NC_000916|NP_276936.1	0.381
NC_000913|NP_416788.1	NC_000916|NP_276661.1	0.461
NC_000913|NP_417844.1	NC_000916|NP_275352.1	0.273
NC_000913|NP_418798.1	NC_000916|NP_275957.1	0.26
NC_000913|NP_416374.1	NC_000916|NP_275383.1	0.181
NC_000913|NP_415045.1	NC_000916|NP_276255.1	1.255
NC_000913|NP_414867.1	NC_000916|NP_276097.1	0.264
NC_000913|NP_418459.1	NC_000916|NP_276057.1	1.283
NC_000913|NP_414903.4	NC_000916|NP_275887.1	2.28
NC_000913|NP_416757.1	NC_000916|NP_275517.1	0.377
NC_000913|NP_414613.1	NC_000916|NP_275966.1	0.392
NC_000913|NP_415400.1	NC_000916|NP_275839.1	1.233
NC_000913|NP_414873.1	NC_000916|NP_276694.1	0.227
